timestamp,level,devices,concurrency,duration,ok,fail,fail_ratio,rps_avg,rps_ok_avg,p50_ms,p90_ms,p99_ms,bandwidth_pub_out_kbps,bandwidth_pub_in_kbps,cpu_percent,memory_usage,load_1m,load_5m,load_15m,disk_usage_percent
2025-09-14 12:29:50,1,10000,1000,30,10000,0,0.0000,333.33,333.33,63.1,116.5,430.0,1.6,1.3,0.8,61.3,0.08,0.04,0.54,22.87
2025-09-14 12:30:30,2,10000,1000,30,10000,0,0.0000,333.33,333.33,68.7,132.0,409.2,1.5,1.2,0.8,60.4,0.01,0.02,0.47,22.87
2025-09-14 12:31:10,3,10000,1000,30,10000,0,0.0000,333.33,333.33,66.7,168.2,355.7,1.5,1.2,0.8,60.4,0.01,0.02,0.47,22.87
2025-09-14 12:31:49,4,10000,1000,30,10000,0,0.0000,333.33,333.33,62.9,126.8,292.6,1.5,1.2,0.8,60.4,0.01,0.02,0.47,22.87
2025-09-14 12:32:30,5,10000,1000,30,9782,218,0.0218,333.33,326.07,63.6,117.4,30667.2,952.0,152.4,21.0,62.1,0.51,0.24,0.50,22.87
2025-09-14 12:33:31,6,10000,1000,30,1359,8641,0.8641,333.33,45.30,30438.9,30906.4,31014.3,952.0,152.4,21.0,62.1,0.51,0.24,0.50,22.87
2025-09-14 12:41:20,1,10000,1000,30,10000,0,0.0000,333.33,333.33,63.6,108.8,337.7,805.2,173.2,0.7,55.9,0.13,0.14,0.34,22.87
2025-09-14 12:41:57,2,10000,1000,30,10000,0,0.0000,333.33,333.33,63.3,106.9,265.7,805.2,173.2,0.7,55.9,0.13,0.14,0.34,22.87
2025-09-14 12:42:37,3,10000,1000,30,10000,0,0.0000,333.33,333.33,63.9,142.5,337.2,434.8,51.1,7.4,55.8,0.20,0.15,0.32,22.87
2025-09-14 12:43:16,4,10000,1000,30,10000,0,0.0000,333.33,333.33,63.2,129.8,263.8,434.8,51.1,7.4,55.8,0.20,0.15,0.32,22.87
2025-09-14 12:43:57,5,10000,1000,30,9801,199,0.0199,333.33,326.70,62.6,101.1,30742.7,434.8,51.1,7.4,55.8,0.20,0.15,0.32,22.87
2025-09-14 12:44:58,6,10000,1000,30,191,9809,0.9809,333.33,6.37,30490.8,30926.7,31018.2,1215.4,218.8,17.9,55.5,1.18,0.62,0.47,22.87
2025-09-14 12:45:54,7,10000,1000,30,5704,4296,0.4296,333.33,190.13,27234.0,30754.6,30999.0,1215.4,218.8,17.9,55.5,1.18,0.62,0.47,22.87
2025-09-14 12:46:33,8,10000,1000,30,9987,13,0.0013,333.33,332.90,64.6,102.5,293.8,1485.2,276.9,6.1,56.9,0.26,0.48,0.44,22.87
2025-09-14 12:47:13,9,10000,1000,30,9990,10,0.0010,333.33,333.00,65.1,127.7,252.2,1485.2,276.9,6.1,56.9,0.26,0.48,0.44,22.87
2025-09-14 12:47:51,10,10000,1000,30,9714,286,0.0286,333.33,323.80,63.1,108.9,30609.6,1485.2,276.9,6.1,56.9,0.26,0.48,0.44,22.87
2025-09-14 12:48:49,11,10000,1000,30,8041,1959,0.1959,333.33,268.03,15828.4,30463.4,30947.8,2162.8,425.1,14.0,64.1,1.37,0.84,0.57,22.87
2025-09-14 12:49:44,12,10000,1000,30,7325,2675,0.2675,333.33,244.17,13272.3,25452.5,28474.6,2162.8,425.1,14.0,64.1,1.37,0.84,0.57,22.87
2025-09-14 12:50:44,13,10000,1000,30,711,9289,0.9289,333.33,23.70,30087.2,30837.5,31005.0,2344.7,501.5,13.2,54.3,0.27,0.64,0.53,22.87
2025-09-14 12:51:24,14,10000,1000,30,9990,10,0.0010,333.33,333.00,63.0,106.2,256.8,2344.7,501.5,13.2,54.3,0.27,0.64,0.53,22.87
2025-09-14 12:52:02,15,10000,1000,30,10000,0,0.0000,333.33,333.33,63.7,110.6,305.5,2344.7,501.5,11.3,54.3,0.27,0.64,0.53,22.87
2025-09-14 12:52:42,16,10000,1000,30,10000,0,0.0000,333.33,333.33,63.8,102.7,377.3,1864.4,397.4,11.3,55.0,0.66,0.62,0.54,22.87
2025-09-14 12:53:20,17,10000,1000,30,10000,0,0.0000,333.33,333.33,63.6,129.8,262.6,1864.4,397.4,11.3,55.0,0.66,0.62,0.54,22.87
2025-09-14 12:54:00,18,10000,1000,30,9744,256,0.0256,333.33,324.80,63.7,105.1,30284.1,1864.4,397.4,11.3,55.0,0.66,0.62,0.54,22.87
2025-09-14 12:54:44,19,10000,1000,30,9024,976,0.0976,333.33,300.80,1770.6,4077.5,30814.7,2469.6,526.9,18.5,55.7,0.44,0.57,0.53,22.87
2025-09-14 12:55:33,20,10000,1000,30,7424,2576,0.2576,333.33,247.47,9453.7,19789.7,23106.7,2469.6,526.9,18.5,55.7,0.44,0.57,0.53,22.87
