timestamp,level,devices,concurrency,duration,ok,fail,fail_ratio,rps_avg,rps_ok_avg,p50_ms,p90_ms,p99_ms,bandwidth_pub_out_kbps,bandwidth_pub_in_kbps,cpu_percent,memory_usage,load_1m,load_5m,load_15m,disk_usage_percent
2025-09-14 01:17:21,1,1000,1000,30,1000,0,0.0000,33.33,33.33,65.6,70.3,155.8,0.6,0.5,0.9,64.3,0.07,0.27,1.35,22.93
2025-09-14 01:17:58,2,2000,1000,30,2000,0,0.0000,66.67,66.67,65.5,69.3,160.8,0.6,0.5,0.9,64.3,0.07,0.27,1.35,22.93
2025-09-14 01:18:35,3,3000,1000,30,3000,0,0.0000,100.00,100.00,65.8,69.8,172.3,317.1,26.4,2.1,63.2,0.03,0.19,1.18,22.93
2025-09-14 01:19:12,4,4000,1000,30,4000,0,0.0000,133.33,133.33,65.9,72.0,206.7,317.1,26.4,2.1,63.2,0.03,0.19,1.18,22.93
2025-09-14 01:19:51,5,5000,1000,30,5000,0,0.0000,166.67,166.67,66.2,71.2,202.0,317.1,26.4,2.1,63.2,0.03,0.19,1.18,22.93
2025-09-14 01:20:29,6,6000,1000,30,6000,0,0.0000,200.00,200.00,67.3,80.2,229.8,423.7,35.1,9.2,55.0,0.26,0.23,1.08,22.93
2025-09-14 01:21:08,7,7000,1000,30,7000,0,0.0000,233.33,233.33,66.9,83.4,276.2,423.7,35.1,9.2,55.0,0.26,0.23,1.08,22.93
2025-09-14 01:21:46,8,8000,1000,30,8000,0,0.0000,266.67,266.67,67.3,88.1,248.4,423.7,35.1,9.2,55.0,0.26,0.23,1.08,22.93
2025-09-14 01:22:24,9,9000,1000,30,9000,0,0.0000,300.00,300.00,68.4,91.7,323.5,980.6,158.0,14.5,55.1,0.21,0.27,0.99,22.93
2025-09-14 01:23:22,10,10000,1000,30,9628,372,0.0372,333.33,320.93,68.2,88.5,30598.2,980.6,158.0,14.5,55.1,0.21,0.27,0.99,22.93
2025-09-14 01:24:04,11,11000,1000,30,10165,835,0.0759,366.67,338.83,500.2,1731.3,30868.3,980.6,158.0,17.0,55.1,0.93,0.53,0.99,22.93
2025-09-14 01:24:42,12,12000,1000,30,10176,1824,0.1520,400.00,339.20,2398.1,10904.4,19940.8,1801.9,335.0,17.0,54.6,0.93,0.53,0.99,22.93
2025-09-14 01:25:19,13,13000,1000,30,12222,778,0.0598,433.33,407.40,4738.3,10777.1,24226.2,1801.9,335.0,17.0,54.6,0.93,0.53,0.99,22.93
2025-09-14 01:25:57,14,14000,1000,30,13260,740,0.0529,466.67,442.00,4970.0,11138.6,24200.7,1801.9,335.0,17.0,54.6,0.93,0.53,0.99,22.93
2025-09-14 01:26:36,15,15000,1000,30,14258,742,0.0495,500.00,475.27,11100.6,17312.2,30777.6,2373.1,508.1,18.4,53.0,1.54,0.77,1.02,22.93
2025-09-14 01:27:16,16,16000,1000,30,15345,655,0.0409,533.33,511.50,12409.0,17992.4,30575.0,2373.1,508.1,18.4,53.0,1.54,0.77,1.02,22.93
2025-09-14 01:27:54,17,17000,1000,30,16398,602,0.0354,566.67,546.60,6155.5,11944.5,30778.7,2373.1,508.1,18.4,53.0,1.54,0.77,1.02,22.93
2025-09-14 01:28:52,18,18000,1000,30,15328,2672,0.1484,600.00,510.93,22853.9,30524.6,30963.1,3215.2,657.3,20.1,56.0,3.55,1.56,1.26,22.93
2025-09-14 01:29:57,19,19000,1000,30,17330,1670,0.0879,633.33,577.67,10935.5,15441.0,30801.2,3215.2,657.3,20.1,56.0,3.55,1.56,1.26,22.93
2025-09-14 01:30:59,20,20000,1000,30,18670,1330,0.0665,666.67,622.33,132.5,909.0,28854.4,3635.9,732.6,16.9,55.5,1.90,1.76,1.38,22.93
2025-09-14 01:31:37,21,21000,1000,30,20269,731,0.0348,700.00,675.63,115.8,376.5,28611.6,3635.9,732.6,16.9,55.5,1.90,1.76,1.38,22.93
2025-09-14 01:32:16,22,22000,1000,30,21269,731,0.0332,733.33,708.97,123.5,540.6,30993.8,3935.2,784.6,24.2,55.6,2.05,1.83,1.44,22.93
2025-09-14 01:32:56,23,23000,1000,30,22346,654,0.0284,766.67,744.87,136.6,484.3,30483.6,3935.2,784.6,24.2,55.6,2.05,1.83,1.44,22.93
2025-09-14 01:33:35,24,24000,1000,30,23399,601,0.0250,800.00,779.97,178.2,558.9,30839.7,3935.2,784.6,24.2,55.6,2.05,1.83,1.44,22.93
2025-09-14 01:34:28,25,25000,1000,30,22413,2587,0.1035,833.33,747.10,22523.3,30113.9,30776.2,4834.4,973.2,33.1,57.4,2.51,2.55,1.79,22.93
2025-09-14 01:35:30,26,26000,1000,30,19989,6011,0.2312,866.67,666.30,26604.5,30701.7,30965.5,4834.4,973.2,33.1,57.4,2.51,2.55,1.79,22.93
2025-09-14 01:36:35,27,27000,1000,30,23106,3894,0.1442,900.00,770.20,25387.6,30264.8,30928.3,4976.0,1010.2,23.0,54.9,2.65,2.48,1.85,22.93
2025-09-14 01:37:39,28,28000,1000,30,26874,1126,0.0402,933.33,895.80,252.7,5075.6,30363.7,4976.0,1010.2,23.0,54.9,2.65,2.48,1.85,22.93
2025-09-14 01:38:34,29,29000,1000,30,27657,1343,0.0463,966.67,921.90,11963.5,15861.5,30761.6,5545.9,1138.8,30.4,58.8,6.23,3.80,2.41,22.93
2025-09-14 01:39:36,30,30000,1000,30,26348,3652,0.1217,1000.00,878.27,21294.5,30351.5,30907.2,5545.9,1138.8,30.4,58.8,6.23,3.80,2.41,22.93
