timestamp,level,devices,concurrency,duration,ok,fail,fail_ratio,rps_avg,p50_ms,p90_ms,p99_ms,pub_out_kbps,cpu_usage,disk_read_kbps
2025-09-04 13:16:45,1,1000,1000,30,1000,0,0.0000,33.33,118.6,664.3,1056.2,102,11.4,17700
2025-09-04 13:17:15,2,1500,1000,30,1500,0,0.0000,50.00,64.6,206.2,550.5,123,12.1,16400
2025-09-04 13:17:45,3,2000,1000,30,2000,0,0.0000,66.67,62.1,96.5,386.4,144,12.8,15000
2025-09-04 13:18:15,4,2500,1000,30,2500,0,0.0000,83.33,62.0,184.2,572.5,166,14.2,18400
2025-09-04 13:18:45,5,3000,1000,30,3000,0,0.0000,100.00,61.7,96.0,546.3,187,14.9,16600
2025-09-04 13:19:15,6,3500,1000,30,3458,42,0.0120,116.67,61.2,109.7,10496.8,395,18.5,14700
2025-09-04 13:19:45,7,4000,1000,30,4000,0,0.0000,133.33,61.2,142.9,624.9,435,19.3,12900
2025-09-04 13:20:15,8,4500,1000,30,4489,11,0.0024,150.00,62.0,383.4,933.5,475,17.8,71.8
2025-09-04 13:20:45,9,5000,1000,30,4936,64,0.0128,166.67,62.2,417.8,10044.1,516,19.1,77.0
2025-09-04 13:21:15,10,5500,1000,30,3065,2435,0.4427,183.33,4303.4,10744.0,10978.1,754,20.1,156
2025-09-04 13:21:45,11,6000,1000,30,199,5801,0.9668,200.00,10486.7,10897.2,10997.0,809,21.4,165
2025-09-04 13:22:16,12,6500,1000,30,4380,2120,0.3262,216.67,5570.3,10659.9,10970.8,864,24,196
2025-09-04 13:22:46,13,7000,1000,30,4426,2574,0.3677,233.33,5918.9,10670.2,10971.1,946,25.3,196
2025-09-04 13:23:16,14,7500,1000,30,3671,3829,0.5105,250.00,10034.1,10874.8,10990.8,1050,26.8,23700
2025-09-04 13:23:46,15,8000,1000,30,0,8000,1.0000,266.67,10541.8,10934.7,11006.2,1110,26.8,25000
Stopping: ok responses 0 < min_ok 1
Bandwith peak at 1.3 Mbps; CPU at 28.9%; Disk read at 30 Mbps 2025-09-04 13:25:15,
2025-09-04 13:37:59,1,1000,1000,30,1000,0,0.0000,33.33,65.4,318.6,612.8,169,6.58,2.94
2025-09-04 13:38:29,2,1500,1000,30,1500,0,0.0000,50.00,61.9,78.3,321.6,169,6.58,2.94
2025-09-04 13:38:59,3,2000,1000,30,2000,0,0.0000,66.67,61.2,111.4,384.3,169,6.58,2.94
2025-09-04 13:39:29,4,2500,1000,30,2500,0,0.0000,83.33,61.8,111.5,434.8,225,7.81,2.99
