timestamp,level,devices,concurrency,duration,ok,fail,fail_ratio,rps_avg,p50_ms,p90_ms,p99_ms,pub_out_kbps,cpu_usage,disk_read_kbps
2025-09-04 11:31:19,1,1000,1000,30,1000,0,0.0000,33.33,71.0,464.2,975.4,0.91,3.3,75
2025-09-04 11:31:50,2,1500,1000,30,1500,0,0.0000,50.00,66.0,116.3,373.7,128,6.19,73.5
2025-09-04 11:32:20,3,2000,1000,30,2000,0,0.0000,66.67,64.9,77.1,303.2,134,6.45,76.7
2025-09-04 11:32:50,4,2500,1000,30,2500,0,0.0000,83.33,64.0,70.9,287.1,147,7.94,94.7
2025-09-04 11:33:20,5,3000,1000,30,3000,0,0.0000,100.00,63.0,72.0,302.9,160,7.97,94.7
2025-09-04 11:33:50,6,3500,1000,30,3500,0,0.0000,116.67,62.5,67.3,366.8,387,10.9,79.9
2025-09-04 11:34:23,7,4000,1000,30,3673,0,0.0000,122.43,63.1,69.4,316.8,416,11,80
Stopping: expected 4000 messages (devices=4000 * 1) but observed 3673. Rate Limiter @100,,,,,,,,,,,,
2025-09-04 11:39:21,1,1000,1000,30,1000,0,0.0000,33.33,827.1,1177.9,1244.1,503,10.0,34.4
2025-09-04 11:39:51,2,1500,1000,30,1336,164,0.1093,50.00,1696.9,10571.3,10581.6,497,9.04,33.4
2025-09-04 11:40:22,3,2000,1000,30,1131,869,0.4345,66.67,1183.7,10599.3,10618.0,548,8.57,35.6
2025-09-04 11:40:52,4,2500,1000,30,1,2499,0.9996,83.33,10546.6,10779.8,11003.1,329,4.81,230
2025-09-04 11:41:22,5,3000,1000,30,357,2643,0.8810,100.00,10511.6,10896.8,11014.1,329,4.81,230
2025-09-04 11:41:52,6,3500,1000,30,149,3351,0.9574,116.67,10227.7,10845.8,11007.1,315,11.8,306
2025-09-04 11:42:22,7,4000,1000,30,89,3911,0.9778,133.33,10328.7,10886.6,11017.8,315,11.8,5700
2025-09-04 11:42:52,8,4500,1000,30,201,4299,0.9553,150.00,10362.5,10900.4,11012.8,257,5.73,5700
2025-09-04 11:43:22,9,5000,1000,30,163,4837,0.9674,166.67,10401.9,10895.6,11010.1,315,11.8,5700
2025-09-04 11:43:52,10,5500,1000,30,217,5283,0.9605,183.33,10378.5,10899.2,11012.3,315,11.8,6810
2025-09-04 11:44:22,11,6000,1000,30,2073,3927,0.6545,200.00,10174.5,10768.6,10999.0,420,15,42300
2025-09-04 11:44:52,12,6500,1000,30,1302,5198,0.7997,216.67,10334.1,10878.2,11000.8,315,37.5,45400
2025-09-04 11:45:22,13,7000,1000,30,0,7000,1.0000,233.33,10516.3,10988.6,11041.0,187,47.5,51000
Stopping: ok responses 0 < min_ok 1,,,,,,,,,,,,,
CPU Usage peat at 108% 11:52:40
Disk read peak at 905 Mbps 11:57:10
2025-09-04 12:08:19,1,1000,1000,30,1000,0,0.0000,33.33,67.6,378.3,672.6,312,8.19,48.7
2025-09-04 12:08:49,2,1500,1000,30,1500,0,0.0000,50.00,63.0,206.5,428.5,312,8.19,48.7
2025-09-04 12:09:19,3,2000,1000,30,2000,0,0.0000,66.67,62.2,221.9,481.4,312,8.19,48.7
2025-09-04 12:09:49,4,2500,1000,30,2500,0,0.0000,83.33,62.6,268.3,486.7,312,8.19,48.7
2025-09-04 12:10:19,5,3000,1000,30,3000,0,0.0000,100.00,61.5,333.5,605.6,312,8.19,48.7
2025-09-04 12:10:49,6,3500,1000,30,3500,0,0.0000,116.67,61.4,436.7,1257.6,350,9.19,58
2025-09-04 12:11:19,7,4000,1000,30,4000,0,0.0000,133.33,61.8,381.3,688.9,419,11.00,63
2025-09-04 12:11:49,8,4500,1000,30,4320,180,0.0400,150.00,61.1,237.9,10415.0,465,12.20,72
2025-09-04 12:12:19,9,5000,1000,30,785,4215,0.8430,166.67,10428.7,10888.8,10996.0,614,11,277
2025-09-04 12:12:49,10,5500,1000,30,223,5277,0.9595,183.33,10432.7,10909.6,11009.7,670,12,294
2025-09-04 12:13:19,11,6000,1000,30,1782,4218,0.7030,200.00,10227.2,10862.5,10997.1,725,13.4,346
2025-09-04 12:13:49,12,6500,1000,30,828,5672,0.8726,216.67,10460.8,10908.8,11001.4,780,14.6,346
2025-09-04 12:14:19,13,7000,1000,30,0,7000,1.0000,233.33,10485.3,10904.1,11007.9,415,27.6,96200
Stopping: ok responses 0 < min_ok 1
2025-09-04 12:44:26,1,1000,1000,30,1000,0,0.0000,33.33,64.1,279.5,511.9,115,4.41,37.8
2025-09-04 12:44:56,2,1500,1000,30,1500,0,0.0000,50.00,62.0,108.3,397.5,115,4.41,37.8
2025-09-04 12:45:26,3,2000,1000,30,2000,0,0.0000,66.67,63.6,172.7,444.9,115,4.41,37.8
2025-09-04 12:45:56,4,2500,1000,30,2500,0,0.0000,83.33,61.0,91.9,478.2,152,5.02,37.3
2025-09-04 12:46:26,5,3000,1000,30,3000,0,0.0000,100.00,60.4,111.8,423.1,407,10.3,37.9
2025-09-04 12:46:56,6,3500,1000,30,3500,0,0.0000,116.67,60.3,82.8,456.8,407,10.3,37.9
2025-09-04 12:47:26,7,4000,1000,30,3992,8,0.0020,133.33,60.3,89.7,472.7,407,10.3,37.9
2025-09-04 12:47:56,8,4500,1000,30,4472,28,0.0062,150.00,60.6,99.2,664.7,543,12.9,38.9
2025-09-04 12:48:26,9,5000,1000,30,5000,0,0.0000,166.67,60.9,134.9,560.8,543,12.9,38.9
2025-09-04 12:48:56,10,5500,1000,30,5152,348,0.0633,183.33,61.0,86.3,10295.6,892.5,15.6,37.4
2025-09-04 12:49:26,11,6000,1000,30,0,6000,1.0000,200.00,10489.2,10903.3,10996.1,892.5,15.6,37.4
Stopping: ok responses 0 < min_ok 1
Bandwith peak @853 kbps 12:16:00
CPU Usage peak @81.2% 12:20:20
Disk read peak @485 Mbps 12:20:20
2025-09-04 12:59:26,1,1000,1000,30,1000,0,0.0000,33.33,59.7,79.0,176.9,105,3.2,575
2025-09-04 12:59:56,2,1500,1000,30,1500,0,0.0000,50.00,59.3,77.3,204.9,105,3.2,575
2025-09-04 13:00:26,3,2000,1000,30,2000,0,0.0000,66.67,77.2,327.4,1087.0,105,3.2,575
2025-09-04 13:00:56,4,2500,1000,30,2454,46,0.0184,83.33,62.8,97.6,10634.0,139,3.38,575
2025-09-04 13:01:26,5,3000,1000,30,2982,18,0.0060,100.00,59.8,73.1,365.7,390,7.24,1820
2025-09-04 13:01:56,6,3500,1000,30,3500,0,0.0000,116.67,60.2,98.8,507.5,390,7.24,1820
2025-09-04 13:02:26,7,4000,1000,30,3988,12,0.0030,133.33,60.5,101.4,554.6,519,8.96,1820
